# All tag archives (98): dimension | key | label | slug | description
dimension	key	label	slug	description
category	T-Shirt	T-Shirt	T-Shirt	Full-coverage sublimated tees — your artwork runs edge to ed
category	Hoodie	Hoodie	Hoodie	Heavyweight sublimation hoodies built for streetwear drops, 
category	Polo Shirt	Polo Shirt	Polo Shirt	Sublimated polos for corporate uniforms, tournament staff, a
category	Jacket	Jacket	Jacket	Lightweight sublimated jackets for training warmups, team tr
category	Shirt	Shirt	Shirt	Sublimated button-downs and casual shirts for promotional me
category	Tank Top & Camis	Tank Top & Camis	Tank Top & Camis	Lightweight sublimated tank tops for gym, yoga, beach, and s
category	Vest	Vest	Vest	Sublimated safety and utility vests for construction crews, 
category	Pants	Pants	Pants	Sublimated pants for tracksuits, joggers, snow pants, and wo
category	Sweatshirt	Sweatshirt	Sweatshirt	Heavyweight sublimated sweatshirts for streetwear, college m
category	Skirt	Skirt	Skirt	Sublimated skirts for team uniforms, dance, retail, and reso
category	Sportswear	Sportswear	Sportswear	Performance and team-wear pieces built for club play, league
category	Home	Home	Home	Cozy home-textile pieces — onesies, loungewear, hooded jumps
category	Cap	Cap	Cap	Sublimated headwear for teams, streetwear, and event merch. 
sport	AFL	AFL	AFL	Sublimated AFL guernseys, supporter tees, and training gear 
sport	Athletics	Athletics	Athletics	Track & field kits for clubs, schools, and meets — singlets,
sport	Badminton	Badminton	Badminton	Sublimated badminton jerseys and match kits for clubs, schoo
sport	Baseball	Baseball	Baseball	Sublimated baseball jerseys, pants, and caps for leagues, sc
sport	Basketball	Basketball	Basketball	Sublimated basketball jerseys, shorts, and reversible kits f
sport	Beach	Beach	Beach	Sublimated beach volleyball and beach sports kits — board sh
sport	Bowling	Bowling	Bowling	Sublimated bowling jerseys for leagues, tournaments, and pro
sport	Boxing	Boxing	Boxing	Sublimated boxing trunks, robes, and training gear for gyms,
sport	Cheer	Cheer	Cheer	Sublimated cheer uniforms for school, all-star, and college 
sport	Cricket	Cricket	Cricket	Sublimated cricket whites, training kits, and supporter tees
sport	CrossFit	CrossFit	CrossFit	Sublimated CrossFit gear — training tees, shorts, leggings, 
sport	Cycling	Cycling	Cycling	Sublimated cycling jerseys, bibs, and skinsuits for clubs, t
sport	Dance	Dance	Dance	Sublimated dancewear for studios, teams, and competition — l
sport	Dive	Dive	Dive	Sublimated swimwear and rash guards for diving, snorkeling, 
sport	Esports	Esports	Esports	Sublimated esports jerseys and team merch for tournament pla
sport	Fishing	Fishing	Fishing	Sublimated fishing shirts, hoodies, and sun-protection gear 
sport	Football	Football	Football	Sublimated American football jerseys, pants, and full kits f
sport	Golf	Golf	Golf	Sublimated golf polos, pants, and outerwear for pro shops, t
sport	Gym	Gym	Gym	Sublimated gym wear — stringers, tank tops, tees, and shorts
sport	Hockey	Hockey	Hockey	Sublimated hockey jerseys, socks, and training gear for ice 
sport	Lacrosse	Lacrosse	Lacrosse	Sublimated lacrosse jerseys, shorts, and pinnies for school,
sport	MMA	MMA	MMA	Sublimated MMA fight kits — rash guards, fight shorts, and w
sport	Martial Arts	Martial Arts	Martial Arts	Sublimated martial arts uniforms and training gear for karat
sport	Netball	Netball	Netball	Sublimated netball dresses, bibs, and match kits for clubs, 
sport	Pilates	Pilates	Pilates	Sublimated pilates wear — leggings, crops, tanks, and unitar
sport	Rugby	Rugby	Rugby	Sublimated rugby jerseys, shorts, and socks for clubs, schoo
sport	Running	Running	Running	Sublimated running kits — singlets, tees, shorts, and tights
sport	Skate	Skate	Skate	Sublimated skate tees, hoodies, and pants for skate brands, 
sport	Skating	Skating	Skating	Sublimated figure skating and roller skating dresses, leggin
sport	Ski	Ski	Ski	Sublimated ski jackets, pants, and base layers for ski schoo
sport	Snowboard	Snowboard	Snowboard	Sublimated snowboard jackets, pants, and base layers for ins
sport	Soccer	Soccer	Soccer	Sublimated soccer jerseys, shorts, and socks for clubs, scho
sport	Softball	Softball	Softball	Sublimated softball jerseys, pants, and visors for leagues, 
sport	Surf	Surf	Surf	Sublimated surf rash guards, board shorts, and tanks for sur
sport	Swimwear	Swimwear	Swimwear	Sublimated swimwear for swim teams, water polo, and resort b
sport	Table Tennis	Table Tennis	Table Tennis	Sublimated table tennis jerseys and shorts for clubs, school
sport	Tennis	Tennis	Tennis	Sublimated tennis polos, dresses, and skirts for clubs, coac
sport	Triathlon	Triathlon	Triathlon	Sublimated triathlon suits, tops, and trisuits for clubs, ra
sport	Volleyball	Volleyball	Volleyball	Sublimated volleyball jerseys, shorts, and libero tops for c
sport	Wrestling	Wrestling	Wrestling	Sublimated wrestling singlets, fight shorts, and warmups for
sport	Yoga	Yoga	Yoga	Sublimated yoga wear — leggings, crops, tanks, and bras for 
scenario	Promotional Swag	Promotional Swag	Promotional Swag	Custom promotional swag — full-print tees, hoodies, hats, an
scenario	Event & Festival	Event & Festival	Event & Festival	Sublimated event and festival merch — tees, hoodies, tank to
scenario	School & Education	School & Education	School & Education	Sublimated school and education uniforms — PE kits, sports t
scenario	Team & Club	Team & Club	Team & Club	Sublimated team and club kits — sports clubs, social clubs, 
scenario	Sports League	Sports League	Sports League	Sublimated league-wide merch for amateur and semi-pro sports
scenario	Corporate & Branding	Corporate & Branding	Corporate & Branding	Sublimated corporate merch and branded uniforms for company 
scenario	Uniform & Workwear	Uniform & Workwear	Uniform & Workwear	Sublimated uniforms and workwear for hospitality, retail, co
scenario	Retail & Fashion	Retail & Fashion	Retail & Fashion	Sublimated retail and fashion collections for boutique brand
scenario	Political Campaign	Political Campaign	Political Campaign	Sublimated campaign merch for political candidates, ballot m
